Citizenship,Undergraduate Institution,Undergraduate Major,GPA,Graduation Year,Graduate Degree of Interest,Top Choice,Second Choice,Gender,Ethnicity
U.S. Citizen,Arizona State University,Electrical Engineering,3.65,2020,Ph.D. with Masters,Electrical Engineering,Computer Science/Engineering,Prefer not to answer,White
U.S. Citizen,Arizona State University,Aerospace Engr (Astronautics),3.64,2018,Ph.D. with Masters,Aerospace Engineering,Mechanical Engineering,Male,White
U.S. Citizen,Arizona State University,Mechanical Engineering,3.22,2018,Ph.D. with Masters,Energy Engineering,Mechanical Engineering,Female,American Indian or Alaska Native
U.S. Citizen,Arizona State University,Electrical Engineering,3.74,2018,Online Masters,Business Administration,Energy Engineering,Male,White
U.S. Citizen,Arizona State University,Mechanical Engineering,4.04,2019,Ph.D. with Masters,Mechanical Engineering,Aerospace Engineering,Female,White
International,Arizona State University,Computer Science - BS,3.71,2018,Masters,Computer Science/Engineering,Computer Science/Engineering,Male,Asian
U.S. Citizen,Arizona State University,Chemical Engineering,3.67,2018,Masters,Materials Science/Polymers Engineering,Chemical Engineering,Female,Asian
Permanent Resident,Arizona State University,Software Engineering,3.17,2017,Masters,Computer Science/Engineering,Computer Engineering,Male,Asian
U.S. Citizen,Arizona State University,Computer Science (Sftwre Engr),3.09,2018,Masters,Computer Science/Engineering,Computer Information Systems,Male,Asian
U.S. Citizen,Arizona State University,Electrical Engineering,3.06,2017,Masters,Macromolecular Sciences and Engineering,Computer Engineering,Male,Black/African American
U.S. Citizen,Arizona State University,Biomedical Engineering,3.32,2019,Masters,Electrical Engineering,Biomedical Engineering,Male,White
U.S. Citizen,Arizona State University,Materials Sci &amp; Engineering,3.83,2019,Masters,Materials Science/Polymers Engineering,Nanoscience Engineering,Male,White
U.S. Citizen,Arizona State University,Biomedical Engineering,3.48,2019,Masters,Biomedical Engineering,Electrical Engineering,Male,Asian
U.S. Citizen,Arizona State University,Civil Engr(Sustainable Engr),3.1,2019,Masters,Civil Engineering,Environmental Engineering,Male,White
U.S. Citizen,Arizona State University,Mech Engr (Energy/Environmt),3.14,2019,Masters,Environmental Engineering,Mechanical Engineering,Female,Hispanic
U.S. Citizen,Arizona State University,"Computer Science - BS, Physics - BS",3.52,2019,Ph.D. with Masters,Applied Physics,Computer Science/Engineering,Male,White
U.S. Citizen,Arizona State University,Mechanical Engineering,3.41,2019,Ph.D. with Masters,Mechanical Engineering,Aerospace Engineering,Male,White
U.S. Citizen,Arizona State University,Mechanical Engineering,3.7,2019,Ph.D. with Masters,Coastal/Water Systems Engineering,Materials Science/Polymers Engineering,Male,White
U.S. Citizen,Arizona State University,Mechanical Engineering,3.49,2020,Ph.D. with Masters,Mechanical Engineering,Energy Engineering,Female,White
U.S. Citizen,Arizona State University,Chemical Engineering,3.45,2019,Masters,Chemical Engineering,Petroleum Engineering,Female,White
International,Arizona State University,Mechanical Engineering,4.1,2018,Ph.D. with Masters,Mechanical Engineering,Electrical Engineering,Male,Asian
U.S. Citizen,Arizona State University,Industrial Engineering,3.01,2018,Masters,Financial Engineering,Industrial/Systems Engineering,Male,White
U.S. Citizen,Arizona State University,Mechanical Engineering,3.15,2018,Masters,Aerospace Engineering,Mechanical Engineering,Male,Asian
U.S. Citizen,Arizona State University,Chemical Engineering,3.51,2019,Ph.D. with Masters,Environmental Engineering,Chemical Engineering,Female,Asian
U.S. Citizen,Arizona State University,Computer Science - BS,4.03,2020,Ph.D. with Masters,Computer Information Systems,Computer Science/Engineering,Female,White
U.S. Citizen,Arizona State University,Biomedical Engineering,3.36,2019,Ph.D. with Masters,Biomedical Engineering,Electrical Engineering,Male,White
U.S. Citizen,Arizona State University,Chemical Engineering,3.17,2018,Masters,Chemical Engineering,Energy Engineering,Male,White
U.S. Citizen,Arizona State University,Mechanical Engineering,4.11,2019,Masters,Mechanical Engineering,Aerospace Engineering,Male,White
U.S. Citizen,Arizona State University,Electrical Engineering,3.99,2019,Ph.D. with Masters,Electrical Engineering,Electrical Engineering,Male,White
U.S. Citizen,Arizona State University,Computer Science - BS,3.64,2019,Masters,Computer Science/Engineering,Robotics Engineering,Male,White
U.S. Citizen,Arizona State University,Biomedical Engineering,3.75,2019,Ph.D. with Masters,Biomedical Engineering,Bioengineering,Male,White
U.S. Citizen,Arizona State University,Software Engineering,3.41,2018,Ph.D. with Masters,Computer Science/Engineering,Computer Engineering,Male,"American Indian or Alaska Native,White"
U.S. Citizen,Arizona State University,Materials Sci &amp; Engineering,3.6,2018,Ph.D. with Masters,Biomedical Engineering,Tissue Engineering,Female,White
U.S. Citizen,Arizona State University,Software Engineering,3.9,2018,Ph.D. with Masters,Computer Science/Engineering,Computer Science/Engineering,Female,Hispanic
U.S. Citizen,Arizona State University,Computer Science - BS,3.15,2018,Masters,Computer Science/Engineering,Computer Engineering,Male,White
U.S. Citizen,Arizona State University,Computer Science - BS,3.66,2019,Masters,Computer Science/Engineering,Computer Information Systems,Female,Asian
U.S. Citizen,Arizona State University,Computer Science - BS,3.77,2019,Ph.D. with Masters,Computer Science/Engineering,Computer Information Systems,Male,Asian
U.S. Citizen,Arizona State University,Civil Engineering,3.33,2017,Masters,Structural Engineering,Civil Engineering,Male,White
U.S. Citizen,Arizona State University,Chemical Engineering,3.54,2019,Ph.D. with Masters,Biological Engineering,Bioengineering,Female,White
U.S. Citizen,Arizona State University,Mechanical Engineering,3.27,2017,Masters,Robotics Engineering,Computer Science/Engineering,Male,White
U.S. Citizen,Arizona State University,Chemical Engineering,3.78,2019,Ph.D. with Masters,Chemical Engineering,Energy Engineering,Female,Asian
U.S. Citizen,Arizona State University,Computer Science - BS,3.22,2018,Ph.D. with Masters,Computer Science/Engineering,Robotics Engineering,Male,White
U.S. Citizen,Arizona State University,Computer Systems Engineering,3.88,2019,Ph.D. with Masters,Computer Engineering,Computer Science/Engineering,Female,White
U.S. Citizen,Arizona State University,Indst and Organizational Psych,3.3,2017,Masters,Human Systems Engineering (Human Factors),Human Computer-Interaction/Factors Engineering,Male,White
U.S. Citizen,Arizona State University,Electrical Engineering,3.49,2017,Masters,Applied Physics,Electrical Engineering,Male,White
U.S. Citizen,Arizona State University,Biomedical Engineering,3.96,2019,Ph.D. with Masters,MD,Biomedical Engineering,Male,Asian
Permanent Resident,Arizona State University,Computer Systems Engineering,3.98,2018,Ph.D. with Masters,Computer Engineering,Computer Science/Engineering,Male,Asian
International,Arizona State University,Computer Science (Sftwre Engr),3.88,2018,Ph.D. only (have Masters),Computer Science/Engineering,Computer Information Systems,Male,Asian
U.S. Citizen,Arizona State University,Mechanical Engineering,3.63,2020,Masters,Mechanical Engineering,Aerospace Engineering,Male,White
International,Arizona State University,Computer Science - BS,3.22,2018,Masters,Computer Science/Engineering,Computer Engineering,Male,Asian
International,Arizona State University,Materials Sci &amp; Engineering,3.94,2018,Ph.D. with Masters,Materials Science/Polymers Engineering,Computer Science/Engineering,Male,Asian
U.S. Citizen,Arizona State University,Computer Science (Software Engineering),3.6,2018,Masters,Computer Science/Engineering,Computer Information Systems,Male,White
U.S. Citizen,Arizona State University,Electrical Engineering,3.19,2020,Ph.D. with Masters,Energy Engineering,Electrical Engineering,Male,"Hispanic,White"
U.S. Citizen,Arizona State University,Mechanical Engineering,3.52,2019,Ph.D. with Masters,Aerospace Engineering,Mechanical Engineering,Female,Hispanic
U.S. Citizen,Arizona State University,Software Engineering,3.28,2019,Masters,Computer Science/Engineering,Computer Science/Engineering,Male,Hispanic
U.S. Citizen,Arizona State University,Software Engineering,3.9,2018,Ph.D. with Masters,Computer Science/Engineering,Systems Engineering,Male,White
U.S. Citizen,Arizona State University,Computer Systems Engineering,3.01,2019,Ph.D. with Masters,Computer Engineering,Computer Engineering,Male,Hispanic
International,Arizona State University,Engineering (MechEngrSystems),3.97,2018,Masters,Computer Engineering,Computer Science/Engineering,Male,Asian
International,Arizona State University,Civil Engineering,3.71,2018,Ph.D. with Masters,Civil Engineering,Transportation Engineering,Male,Asian
U.S. Citizen,Arizona State University,Electrical Engineering,3.51,2018,Masters,Technology Administration,Biomedical Engineering,Female,White
U.S. Citizen,Arizona State University,Electrical Engineering,3.34,2019,Masters,Electrical Engineering,Computer Engineering,Male,Hispanic
U.S. Citizen,Arizona State University,Mechanical Engineering,3.06,2019,Masters,Nuclear Engineering,Mechanical Engineering,Female,Hispanic
International,Arizona State University,Computer Systems Engineering,4,2019,Masters,Computer Science/Engineering,Robotics Engineering,Male,Asian
U.S. Citizen,Arizona State University,Electrical Engineering,3.15,2018,Masters,Electrical Engineering,Aerospace Engineering,Male,White
U.S. Citizen,Arizona State University,Computer Science - BS,4.03,2018,Masters,Computer Science/Engineering,Biomedical Engineering,Male,Asian
U.S. Citizen,Arizona State University,Engineering(ElectricalSystems),3.45,2018,Masters,Electrical Engineering,Biomedical Engineering,Male,White
U.S. Citizen,Arizona State University,Mechanical Engineering,3.88,2019,Masters,Mechanical Engineering,Aerospace Engineering,Male,White
U.S. Citizen,Arizona State University,Computer Science (Sftwre Engr),3.02,2018,Masters,Computer Science/Engineering,Human Computer-Interaction/Factors Engineering,Male,Hispanic
U.S. Citizen,Arizona State University,Computer Science - BS,4,2019,Ph.D. with Masters,Computer Science/Engineering,Robotics Engineering,Female,White
U.S. Citizen,Arizona State University,Chemical Engineering,3.82,2019,Ph.D. with Masters,Chemical Engineering,Biological Engineering,Male,White
U.S. Citizen,Arizona State University,Aerospace Engr (Astronautics),3.49,2019,Masters,Aerospace Engineering,Mechanical Engineering,Female,White
U.S. Citizen,Arizona State University,Aero Eng (Auto Vehicle Sys),3.19,2018,Masters,Mechanical Engineering,Aerospace Engineering,Male,White
U.S. Citizen,Arizona State University,Computer Science (Info Assur),3.27,2019,Masters,Computer Science/Engineering,Computer Science/Engineering,Male,White
U.S. Citizen,Arizona State University,Computer Science - BS,4.02,2019,Masters,Computer Science/Engineering,Computer Engineering,Male,White
U.S. Citizen,Arizona State University,Software Engineering,3.62,2020,Online Masters,Computer Science/Engineering,Computer Information Systems,Male,"American Indian or Alaska Native,White"
U.S. Citizen,Arizona State University,Electrical Engineering,3,2017,Ph.D. with Masters,Electrical Engineering,Energy Engineering,Male,"Hispanic,White"
U.S. Citizen,Arizona State University,Electrical Engineering,3.81,2019,Masters,Computer Engineering,Electrical Engineering,Male,White
U.S. Citizen,Arizona State University,Industrial Engineering,3.57,2018,Masters,Computer Information Systems,Industrial/Systems Engineering,Female,Asian
U.S. Citizen,Arizona State University,Mechanical Engineering,3.34,2018,Masters,Mechanical Engineering,Computer Science/Engineering,Female,Hispanic
U.S. Citizen,Arizona State University,Electrical Engineering,4.13,2018,Ph.D. with Masters,Electrical Engineering,Computer Engineering,Female,Asian
U.S. Citizen,Arizona State University,Civil Engr (Envrnmntal Engr),3.99,2019,Ph.D. with Masters,Ocean Engineering,Coastal/Water Systems Engineering,Female,White
U.S. Citizen,Arizona State University,Electrical Engineering,3.31,2018,Ph.D. with Masters,Electrical Engineering,Computer Science/Engineering,Male,White
U.S. Citizen,Arizona State University,Aerospace Engr (Astronautics),3.98,2018,Ph.D. with Masters,Aerospace Engineering,Mechanical Engineering,Male,White
U.S. Citizen,Arizona State University,Civil Engr(Sustainable Engr),3.16,2019,Masters,Environmental Engineering,Energy Engineering,Female,White
U.S. Citizen,Arizona State University,Computer Science - BS,3.2,2018,Ph.D. with Masters,Computer Science/Engineering,Computer Engineering,Male,"Hispanic,White"
U.S. Citizen,Arizona State University,Biomedical Engineering,4.21,2019,Ph.D. with Masters,Biomedical Engineering,Bioengineering,Female,White
U.S. Citizen,Arizona State University,Civil Engr (Envrnmntal Engr),3.45,2019,Masters,Civil Engineering,Environmental Engineering,Male,White
U.S. Citizen,Arizona State University,Industrial Engineering,3.56,2018,Ph.D. with Masters,Industrial/Systems Engineering,Operations Engineering,Male,Asian
U.S. Citizen,Arizona State University,Mechanical Engineering,3.65,2019,Ph.D. with Masters,Mechanical Engineering,Robotics Engineering,Male,White
U.S. Citizen,Arizona State University,Computer Systems Engineering,3.47,2019,Masters,Computer Engineering,Computer Science/Engineering,Male,White
U.S. Citizen,Arizona State University,Chemical Engineering,3.87,2019,Masters,Chemical Engineering,Nuclear Engineering,Female,Hispanic
U.S. Citizen,Arizona State University,Mechanical Engineering,3.53,2019,Masters,Mechanical Engineering,Robotics Engineering,Female,White
